file,line,type,library,icon_name,context,label
scripts\components\ViewportOverlay\FullOverlay\NavigationControls\CameraLock\styled-components.ts,2,SVG_import,Local SVG file,disable-camera-rotation-icon.svg,,disable camera rotation icon
scripts\components\ViewportOverlay\FullOverlay\NavigationControls\CameraLock\styled-components.ts,3,SVG_import,Local SVG file,enable-camera-rotation-icon.svg,,enable camera rotation icon
scripts\components\ViewportOverlay\FullOverlay\NavigationControls\PanToggle\styled-components.ts,3,SVG_import,Local SVG file,pan-tool.svg,,pan tool
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\FillModulesContent.tsx,49,ReactIcons,react-icons/fi,FiAlertTriangle,,alert triangle
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\FillModulesContent.tsx,2,SVG_import,Local SVG file,Fill.svg,,fill
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\FillModulesContent.tsx,3,SVG_import,Local SVG file,FillWithViewshed.svg,,fill with viewshed
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\styled-components.tsx,2,SVG_import,Local SVG file,edit-pencil.svg,,edit pencil
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\styled-components.tsx,3,SVG_import,Local SVG file,fire-extinguisher.svg,,fire extinguisher
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\styled-components.tsx,4,SVG_import,Local SVG file,add.svg,,add
scripts\components\ViewportOverlay\FullOverlay\QuickFillToolbar\styled-components.tsx,5,SVG_import,Local SVG file,delete.svg,,delete
scripts\components\ViewportOverlay\FullOverlay\VerticalToolbar\ClearSelectionButton.tsx,2,SVG_import,Local SVG file,select-none.svg,,select none
scripts\components\ViewportOverlay\FullOverlay\VerticalToolbar\FillModulesButton.tsx,3,SVG_import,Local SVG file,max-fill.svg,,max fill
scripts\components\ViewportOverlay\FullOverlay\VerticalToolbar\FillModulesButton.tsx,4,SVG_import,Local SVG file,max-fill-with-viewsheds.svg,,max fill with viewsheds
scripts\components\ViewportOverlay\FullOverlay\VerticalToolbar\SelectAllModulesButton.tsx,2,SVG_import,Local SVG file,select-all.svg,,select all
scripts\components\ViewportOverlay\FullOverlay\VerticalToolbar\ToggleModuleOrientationButton.tsx,2,SVG_import,Local SVG file,change-orientation.svg,,change orientation
scripts\components\ViewportOverlay\SimpleDesign\Accordion\styled-components.ts,7,ReactIcons,react-icons/md,MdCheckCircle,,check circle
scripts\components\ViewportOverlay\SimpleDesign\Accordion\Details\helpers\createActionColumn.tsx,4,ReactIcons,react-icons/md,MdContentCopy as CopyIcon,,content copy as copy
scripts\components\ViewportOverlay\SimpleDesign\Accordion\Details\helpers\createActionColumn.tsx,4,ReactIcons,react-icons/md,MdCheck as CheckIcon,,check as check
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\GridModeOnly\styled-components.ts,2,ReactIcons,react-icons/md,MdLightbulbOutline as Icon,,lightbulb outline as
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\Add.tsx,1,ReactIcons,react-icons/md,MdAdd as Icon,,add as
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\Copy.tsx,2,ReactIcons,react-icons/md,MdContentCopy as Icon,,content copy as
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\Cut.tsx,2,ReactIcons,react-icons/md,MdContentCut as Icon,,content cut as
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\Delete.tsx,2,ReactIcons,react-icons/md,MdDeleteOutline as Icon,,delete outline as
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\FillModules.tsx,5,SVG_import,Local SVG file,max-fill.svg,,max fill
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\GridModeToggleGroup.tsx,6,ReactIcons,react-icons/md,MdGridOn as GridIcon,,grid on as grid
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\GridModeToggleGroup.tsx,6,ReactIcons,react-icons/md,MdGridOff as NoGridIcon,,grid off as no grid
scripts\components\ViewportOverlay\SimpleDesign\Accordion\System\LayoutEditing\Paste.tsx,2,ReactIcons,react-icons/md,MdContentPaste as Icon,,content paste as
scripts\components\ViewportOverlay\SimpleDesign\components\ExpandToggleButton.tsx,2,ReactIcons,react-icons/fa6,FaChevronLeft,,chevron left
scripts\components\ViewportOverlay\SimpleDesign\components\ExpandToggleButton.tsx,2,ReactIcons,react-icons/fa6,FaChevronRight,,chevron right
scripts\components\ViewportOverlay\SimpleDesign\Finalize\styled-components.ts,2,SVG_import,Local SVG file,check-circle.svg,,check circle
scripts\components\ViewportOverlay\SimpleDesign\Finalize\InvalidPlacedModules\InvalidPlacedModulesInfo.tsx,3,ReactIcons,react-icons/fi,FiAlertTriangle,,alert triangle
scripts\gui\Gui.js,353,FontAwesome,FontAwesome (CSS class),fa-file,"$(""button.reports"").html('<i class=""fa fa-file"" aria-hidden=""true""></i>&nbsp; Shade Files')",file
scripts\gui\Gui.js,354,FontAwesome,FontAwesome (CSS class),fa-bar-chart,"$(""button.production-data"").html('<i class=""fa fa-bar-chart"" aria-hidden=""true""></i>Production Data')",bar chart
scripts\gui\Gui.js,356,FontAwesome,FontAwesome (CSS class),fa-pencil,"$(""button.cad"").html('<i class=""fa fa-pencil"" aria-hidden=""true""></i>CAD')",pencil
scripts\gui\Gui.js,360,FontAwesome,FontAwesome (CSS class),fa-download,"$(`button.${value}`).html(`<i class=""fa fa-download"" aria-hidden=""true""></i>${action} ${type}`);",download
scripts\gui\GuiAnnotationsTool.js,184,FontAwesome,FontAwesome (CSS class),fa-trash,"<button class=""sy cancel""><i class=""fa fa-trash"" aria-hidden=""true""></i> Trash</button>",trash
scripts\gui\GuiAnnotationsTool.js,188,FontAwesome,FontAwesome (CSS class),fa-save,"<button class=""sy save""><i class=""fa fa-save"" aria-hidden=""true""></i> Save</button>",save
scripts\gui\GuiAreaAndExcavate.js,54,FontAwesome,FontAwesome (CSS class),fa-times,"'<button class=""sy input-excavate-clear""><i class=""fa fa-times"" aria-hidden=""true""></i> Clear</button>',",times
scripts\gui\GuiDeTiltTool.js,53,FontAwesome,FontAwesome (CSS class),fa-wrench,"<i class=""fa fa-wrench"" aria-hidden=""true""></i>",wrench
